# File written from OrientationAnalysis Version 6.5.163.1998a502a
# DateTime: ?? 9? 6 11:14:22 2022
# X_STEP: 0.504000
# Y_STEP: 0.503000
# Z_STEP: 0.000000
#
# X_MIN: 0.000000
# Y_MIN: 0.000000
# Z_MIN: 0.000000
#
# X_MAX: 99.792000
# Y_MAX: 100.600006
# Z_MAX: 0.000000
#
# X_DIM: 198
# Y_DIM: 200
# Z_DIM: 0
#
# Phase_1: 
# Symmetry_1: 62
# Features_1: 62
#
# Num_Features: 62 
#
# phi1 PHI phi2 x y z FeatureId PhaseId Symmetry
2.675050 1.465480 3.456230 4.284000 0.754500 0.000000 15 1 62
2.677330 1.458280 3.281670 4.788000 0.754500 0.000000 13 1 62
2.681080 1.457080 3.283960 5.292000 0.754500 0.000000 13 1 62
2.682640 1.456400 3.284500 5.796000 0.754500 0.000000 13 1 62
2.686960 1.456280 3.287860 6.300000 0.754500 0.000000 13 1 62
2.689370 1.456420 3.289400 6.804000 0.754500 0.000000 13 1 62
1.896430 1.728850 3.732870 7.308000 0.754500 0.000000 8 1 62
1.897490 1.727820 3.736000 7.812000 0.754500 0.000000 8 1 62
1.898660 1.726140 3.739810 8.316000 0.754500 0.000000 8 1 62
1.898620 1.725680 3.740190 8.820000 0.754500 0.000000 8 1 62
1.898350 1.724430 3.740470 9.324000 0.754500 0.000000 8 1 62
1.898210 1.724130 3.740290 9.828000 0.754500 0.000000 8 1 62
1.896450 1.723070 3.739960 10.332000 0.754500 0.000000 8 1 62
1.894500 1.722820 3.739870 10.836000 0.754500 0.000000 8 1 62
1.894130 1.723020 3.739890 11.340000 0.754500 0.000000 8 1 62
1.892740 1.723890 3.741460 11.844000 0.754500 0.000000 8 1 62
1.891110 1.725000 3.744530 12.348001 0.754500 0.000000 8 1 62
1.890450 1.725340 3.745900 12.852000 0.754500 0.000000 8 1 62
1.888310 1.726900 3.749710 13.356000 0.754500 0.000000 8 1 62
1.887800 1.727470 3.750510 13.860000 0.754500 0.000000 8 1 62
1.885590 1.729540 3.754560 14.364000 0.754500 0.000000 8 1 62
1.884010 1.731290 3.758260 14.868000 0.754500 0.000000 8 1 62
1.883650 1.731720 3.759440 15.372000 0.754500 0.000000 8 1 62
1.882660 1.733560 3.762920 15.876000 0.754500 0.000000 8 1 62
1.882060 1.734890 3.765700 16.380001 0.754500 0.000000 8 1 62
1.881880 1.734970 3.766450 16.884001 0.754500 0.000000 8 1 62
1.881620 1.734970 3.768160 17.388000 0.754500 0.000000 8 1 62
1.881550 1.734610 3.769750 17.892000 0.754500 0.000000 8 1 62
1.881310 1.734420 3.770190 18.396002 0.754500 0.000000 8 1 62
1.880380 1.734220 3.771380 18.900002 0.754500 0.000000 8 1 62
1.879980 1.734220 3.771580 19.404001 0.754500 0.000000 8 1 62
1.878360 1.734510 3.770160 19.908001 0.754500 0.000000 8 1 62
1.877190 1.734940 3.766880 20.412001 0.754500 0.000000 8 1 62
1.876980 1.735210 3.765590 20.916000 0.754500 0.000000 8 1 62
1.876280 1.735870 3.761430 21.420002 0.754500 0.000000 8 1 62
1.875630 1.735950 3.756190 21.924002 0.754500 0.000000 8 1 62
1.875240 1.735790 3.754330 22.428001 0.754500 0.000000 8 1 62
1.874190 1.735530 3.748570 22.932001 0.754500 0.000000 8 1 62
1.873910 1.735470 3.746890 23.436001 0.754500 0.000000 8 1 62
1.872940 1.736220 3.740330 23.940001 0.754500 0.000000 8 1 62
1.872340 1.736900 3.733030 24.444002 0.754500 0.000000 8 1 62
1.872150 1.737000 3.730630 24.948002 0.754500 0.000000 8 1 62
1.871510 1.737070 3.723340 25.452002 0.754500 0.000000 8 1 62
1.870870 1.737260 3.716400 25.956001 0.754500 0.000000 8 1 62
1.870590 1.737530 3.714540 26.460001 0.754500 0.000000 8 1 62
1.869750 1.738380 3.708230 26.964001 0.754500 0.000000 8 1 62
1.869670 1.738580 3.706350 27.468000 0.754500 0.000000 8 1 62
1.868480 1.739710 3.699730 27.972002 0.754500 0.000000 8 1 62
1.867020 1.741040 3.693920 28.476002 0.754500 0.000000 8 1 62
1.866430 1.741520 3.692220 28.980001 0.754500 0.000000 8 1 62
1.864530 1.742570 3.686520 29.484001 0.754500 0.000000 8 1 62
